 Название вакансии; , URL; , Название Компании; , Описание; 
Python разработчик ; ,https://krasnodar.hh.ru/vacancy/35062001?query=Python ; , Performance Lab (Перфоманс Лаб) ;" ,""Разработка HR инструментов. Составление технической документации по системам. Исправление и доработка по текущим ошибкам, периодически возникающим в данных системах.  ";" """
;;;;
Junior Data Engineer ; ,https://krasnodar.hh.ru/vacancy/35378576?query=Python ; , Plarium ;" ,""Проектирование и разработка распределенных систем сбора и обработки данных. Анализ производительности, масштабирование существующих систем в соответствии с возрастающей нагрузкой.  ";" """
;;;;
Python Developer ; ,https://krasnodar.hh.ru/vacancy/35240421?query=Python ; ,ООО ЛАЙТ МЭП ; ,Разработка backend’а высоконагруженных проектов (более 500 тыс.запросов на сервер в минуту). Оптимизация и расширение функционала имеющегося кода. ; 
;;;;
Junior Python разработчик ; ,https://krasnodar.hh.ru/vacancy/35128950?query=Python ; ,ООО МедРейтинг ; ,Разработка новых интеграций с МИС (медицинская информационная система). Поддержка и развитие существующих интеграций. ; 
;;;;
Fullstack-разработчик (Python + Django) ; ,https://krasnodar.hh.ru/vacancy/35604555?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Junior Python разработчик (Django) ; ,https://krasnodar.hh.ru/vacancy/33295360?query=Python ; ,ООО МедРейтинг ;" ,""Для того, чтобы присоединиться к отделу разработки необходимо: ";" """
;;;;
Тестировщик ПО ; ,https://krasnodar.hh.ru/vacancy/32356747?query=Python ; , Ростелеком - Центры обработки данных ; ,Выполнение задач по функциональному и интеграционному тестированию информационных систем или их компонентов. Составление и актуализация существующих тестовых сценариев.  ; 
;;;;
Программист Python ; ,https://krasnodar.hh.ru/vacancy/35659124?query=Python ; ,ООО Кубэкс Рус ; ,Работал с Docker. ; 
;;;;
Middle Python разработчик (Django) ; ,https://krasnodar.hh.ru/vacancy/34216052?query=Python ; ,ООО МедРейтинг ;" ,""Django-тесты (unit, view). ";" """
;;;;
Data Scientist / Machine Learning Engineer ; ,https://krasnodar.hh.ru/vacancy/35620114?query=Python ; ,ООО ПРОФИТКЛИКС ; ,Интеграция ML решений в существующие продукты. Разработка алгоритмов на Python/R/etc. Дизайн и проведение A/B-тестов совместно с... ; 
;;;;
Machine Learning Engineer ; ,https://krasnodar.hh.ru/vacancy/35286865?query=Python ; , Plarium ; ,Преобразование данных и анализ соответствующих действий. Тесное сотрудничество с Data Scientist. Проектирование систем машинного обучения. Исследование и внедрение алгоритмов и... ; 
;;;;
Senior Data Scientist (NLP) ; ,https://krasnodar.hh.ru/vacancy/35437262?query=Python ; , Akvelon ;" ,""Разрабатывать инструменты для сбора данных. * Анализировать и обрабатывать текстовую информацию, с целью ее дальнейшей кластеризации и классификации. ";" """
;;;;
Middle Python Developer ; ,https://krasnodar.hh.ru/vacancy/34470526?query=Python ; , DataArt ;" ,""Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... ";" """
;;;;
Разработчик Python (Full stack) ; ,https://krasnodar.hh.ru/vacancy/35096172?query=Python ;" ,"" МАГНИТ, Розничная сеть ";" "",""...на основе языка Python. Разработка клиентской части сервисов и приложений. Разработка среднего слоя приложений на языке Python. Создание приложений """"с... ";" """
;;;;
Senior Python Developer ; ,https://krasnodar.hh.ru/vacancy/35447784?query=Python ; , DataArt ;" ,""Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... ";" """
;;;;
Python-разработчик ; ,https://krasnodar.hh.ru/vacancy/35570148?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Python Programmer (Программист Python) ; ,https://krasnodar.hh.ru/vacancy/35310532?query=Python ; , Playrix ;" ,""Разработка сервисов маркетинга для автоматизированного принятия решений на основе анализа больших данных (в работе мы используем: Python 3.7, Django... ";" """
